ID,name,url
683404516772-69,Advokatfirman Vinge KB,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=683404516772-69
67820416722-09,Alber & Geiger,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=67820416722-09
452105546342-76,Alexander H. Engelhardt,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=452105546342-76
733481450099-54,"Alinea, Avocats Associés",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=733481450099-54
289743246588-89,ARNAUD AVOCATS ASSOCIÉS,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=289743246588-89
205917251250-68,ARTEMISIA,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=205917251250-68
708677953180-13,AURA LEGAL S.B.T.A. a R.L.,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=708677953180-13
024316744459-13,AWO Belgium BV (trading as AWO),https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=024316744459-13
405662547431-63,"B2R Law Jankowski, Stroiński, Zięba i Partnerzy, Adwokacka Spółka Partnerska",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=405662547431-63
639621947308-42,Baker Botts (Belgium) L.L.P.,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=639621947308-42
261595691684-81,Baker McKenzie BV/SRL,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=261595691684-81
311885650717-73,Basdevant Avocats,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=311885650717-73
402764720293-46,Becker Büttner Held PartGmbB,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=402764720293-46
594629632551-37,Bird & Bird LLP Belgium,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=594629632551-37
201125347425-21,Biriș Goran SPARL,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=201125347425-21
104423050485-61,"BLN PALAO ABOGADOS, S.L.P.",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=104423050485-61
679244546817-13,BLOMSTEIN Partnerschaft von Rechtsanwälten mbB Stein Friton Klasse Huttenlauch,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=679244546817-13
396616042326-39,"CBH Rechtsanwälte, Cornelius Bartenbach Haesemann & Partner, Partnerschaft von Rechtsanwälten mbB",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=396616042326-39
149043243945-01,Clifford Chance LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=149043243945-01
722908431256-62,Cooley LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=722908431256-62
083671317381-09,Covington & Burling LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=083671317381-09
608050616762-69,Cremades & Calvo-Sotelo Abogados S.L.P.,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=608050616762-69
909209345876-38,D+B Rechtsanwaelte Partnerschaft mbB,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=909209345876-38
384981794408-89,"DELOITTE ABOGADOS Y ASESORES TRIBUTARIOS, SLU",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=384981794408-89
414474693021-49,Deloitte Legal StArl SB,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=414474693021-49
038826514581-56,DLA Piper UK LLP - Belgium,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=038826514581-56
690734951702-38,Dr. Christina Berking,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=690734951702-38
878559751666-16,DS Avocats,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=878559751666-16
189143131639-34,"Elisabeth Opie, trading as Opie",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=189143131639-34
723123851144-36,ERNST | RECHT Anwaltskanzlei,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=723123851144-36
693708652357-68,Food Law Science & Partners,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=693708652357-68
968289322904-07,Fragomen Global LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=968289322904-07
847082144588-68,FratiniVergano - European Lawyers,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=847082144588-68
443913019286-78,Freshfields Bruckhaus Deringer LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=443913019286-78
