lawfirm_id,client_id,client_name,proposal,revenue_min,revenue_max
206960,16890,[n/a],[N/A],,10000
201083,14150,embassy of india,"EU-India Free Trade Agreement, EU-India Bilateral Relations and updates and inputs on EU policies and measures like various legislations and sanctions.",300000.0,399999
201083,17405,"infinium operations, llc",Revision of the Renewable Energy Directive II; ReFuelEU Aviation; FuelEU Maritime; CO₂ Emission Performance Standards for Cars and Vans; CO₂ Emission Standards for Heavy Duty Vehicles; Delegated Act on establishing a Union methodology setting out detailed rules for the production of renewable liquid and gaseous transport fuels of non-biological origin; and Delegated Act on establishing a methodology for assessing greenhouse gas emissions savings from renewable liquid and gaseous transport fuels of non-biological origin and from recycled carbon fuels,300000.0,399999
201083,14088,ingevity corporation,Revision of the Renewable Energy Directive II,50000.0,99999
201083,17404,nuseed europe ltd,Revision of the Renewable Energy Directive II; Delegated Act on the Review of Annex IXA of the Renewable Energy Directive (RED2); and Implementing Act on the Voluntary Schemes of REDII,300000.0,399999
201083,16318,west pharmaceutical services,PFAS Restriction; REACH Review; Medical Devices Regulation; and Revision of the EU Pharmaceutical Legislation,300000.0,399999
201083,1917,Huawei,NIS Directive and Application of the EU Toolbox on 5G Cybersecurity in Member States,600000.0,699999
189833,16847,lenzing aktiengesellschaft,"Green Deal, Circular Economy Action Plan, EU Strategy for Sustainable and Circular Textiles",50000.0,99999
206934,16362,comité de liaison des interprofessions agricoles et agro-alimentaires,"- Emissions industrielles
- Pesticides
- Certification carbone
- Révision de la législation sur le bien-être animal
- Information promotion des produits agricoles
- Projet de Lignes directrices sur l'article 210bis de l'OCM (accords verticaux durables)
- Règlement 1308/2013 révisé portant organisation commune des marchés.
- Systèmes alimentaires durables",25000.0,49999
206934,16365,associations interprofessionnelle française du bétail et des viandes,Bien être animal Systèmes alimentaires durables Emissions industrielles Allégations environnementales Certification Carbone durable,,10000
206934,17372,association interprofessionnelle des fruits et des légumes,Article 210 bis du règlement OCM,,10000
200485,16840,association cleah - cérébro lésion et autres handicaps,"Aucune recette n'a été facturée pour l'Association CLEAH - Cérébro Lésion et Autres Handicaps, notre intervention étant basée sur un partenariat bénévole pour lequel des propositions législatives sur les questions de handicap sont en cours.",,10000
200485,15145,b.a. balex,"Participation à diverses commissions parlementaires présidées par M. Younous OMARJEE : 
- collecte d'informations relatives au rapport d'audit de la Cour des comptes européenne afin d'élaborer, en lien avec les autorités de gestion, une modification de la législation européenne concernant l'eau et les incendies (projet de pétition en cours de finalisation devant le Parlement européen)",,10000
