id,lawfirm_name,interests_represented,web,registration_date,lobby_costs,lobby_fte,activity,networking,goals,info_members
188028,PARADIGMES cabinet d'avocats,Promotes their own interests or the collective interests of their members,http://www.paradigmes-avocats.com,"2020-5-20, 22:00","10,000",0.20000000298023,"Je ne fais pas souvent de publications, mais il m'arrive de prendre des positions dans les commentaires et appels à contributions européennes comme celle-ci, par exemple: 
https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/11968-Code-des-douanes-de-lUnion-evaluation-a-mi-parcours/F538178_fr
ainsi que dans d'autres publications à périmètre européen:
https://euranetplus-inside.eu/eu-waste-exports-go-to-waste-part-i/
https://www.icc-france.fr/wp-content/uploads/2022/03/ICC-120-Le-Mag-version-finale.pdf","https://www.avocats-conseils.org/fr/commissions-avocats-conseils-entreprises/23-commissions/145-douane-transport-logistique

http://www.collindesussy.org/association/",Cabinet d'avocats spécialisé en mouvements et cycles de vie des produits et des déchets,
189719,Pilarp Juridik,Advances interests of their clients,,"2023-1-25, 23:00","10,000",0.25,,,"Att aktivt bevaka och söka påverka nuvarande tillämpning av samt kommande utformning av EU-lagstiftning. Primärt inom Transportområdet (gods- och passagerare) men även andra områden som rör aktörer inom transportsektorn som inre marknaden, konkurrens, skatter och avgifter, miljö och klimat samt arbetsrättsliga frågor.",
189833,Alexander H. Engelhardt,Advances interests of their clients,www.engelhardt.law,"2022-5-1, 22:00","50,000",0.25,"Projects; meetings with policy makers; publications, position papers, public consultation contributions.",,"Law firm, providing analysis, advice, and implementation re legal strategies; conflict prevention & resolution; corporate governance, risk and compliance; government/regulatory relations; ESG and sustainable development; political advocacy. Inform policy, facilitate sustainable business transformation and sustainable finance. EFFAS CESGA; CFA ESG, IFRS FSA, GARP SCR, Florence School of Regulation Green Deal, and DB1 qAR certifications.",The provision of legal and other professional advice may include eligible and non-eligible activities.
190369,SAGARDOY ABOGADOS,Promotes their own interests or the collective interests of their members,https://www.sagardoy.com/,"2019-4-21, 22:00","25,000",0.5,,,"Sagardoy Abogados es uno de los principales Bufetes especializados en Derecho del Trabajo, Beneficios Sociales, Pensiones y Seguridad Social en España. Desde su fundación en el año 1980, se ha dedicado ininterrumpidamente al ejercicio de la profesión, brindando a sus clientes corporativos una amplia gama de servicios legales, en el área jurídica de recursos humanos, tanto en tareas de asesoramiento como en materia contenciosa. Recientemente, nuestra entidad Sagardoy Legal & Expat, S.L.P. es la encargada de realizar todas las actividades relacionadas con Expert Group.",
191791,Slaughter and May,Promotes their own interests or the collective interests of their members,https://www.slaughterandmay.com/,"2024-2-18, 23:00","50,000",0.40000000596046,,"Association of Financial Markets in Europe (AFME) 
International Capital Markets Association (ICMA)
The CityUK","Slaughter and May is a leading international law firm with a worldwide corporate, commercial and financing practice. The firm advises on significant international mandates involving over 140 countries annually. In all areas we have in-depth knowledge and experience of EU legislation and rules which we apply in addressing the needs of our clients.",Slaughter and May engages mainly through its London and Brussels based Financial Regulation practice on covered activities under the Transparency Register.
193945,FratiniVergano - European Lawyers,Advances interests of their clients,http://www.fratinivergano.eu/en/,"2021-11-4, 23:00","10,000",0.20000000298023,,,"The firm is specialised in European and international law. In particular, EU competition and internal market law; WTO and EU trade law; EU agricultural and food law. The firm has an important industry focus, its lawyers having significant experience in the sectors of digital services and data protection, agriculture and food, commodity trade and procurement.",
194049,Baker Botts (Belgium) L.L.P.,Advances interests of their clients,https://www.bakerbotts.com/,"2022-8-1, 22:00","300,000",0.30000001192093,in-person events and webinars on EU competition law and energy regulatory developments; updates and alerts sent to clients and contacts on such developments.,"American Chamber of Commerce to the EU, American Bar Association, International Bar Association, multiple national bar associations, EMLO (European Maritime Law Organisation), Women@Competition network","Baker Botts is a global law firm which provides advice and representation on a range of legal issues across one or more jurisdictions, such as litigation, corporate transactions, finance and tax.  We also advise on a range of EU-law related issues, primarily in the field of competition law (such as EU merger  control and investigations), as well as in on EU sanctions and regulatory issues.  Further information on the services we offer can be found at www.bakerbotts.com",
194206,ERNST | RECHT Anwaltskanzlei,Promotes their own interests or the collective interests of their members,,"2023-9-6, 22:00","25,000",0.20000000298023,"Vortragsveranstaltungen, rechtliche Stellungnahmen zur Umsetzung europarechtlicher Vorgaben","DGAW Deutsche Gesellschaft für Abfallwirtschaft e.V.
DWA Deutsche Vereinigung für Wasserwirtschaft, Abwasser und Abfall e. V.
Rechtsanwaltskammer Berlin","Die ERNST | RECHT Anwaltskanzlei berät Mandanten im Zusammenhang mit umweltrechtlichen Fragestellunge, insbesondere zum Abfall-, Wasser-, Immissionsschutz- und Bodenschutzrecht.",
195878,Hogan Lovells International LLP,Advances interests of their clients,http://www.hoganlovells.com,"2017-12-20, 23:00","50,000",1.0,"-DMA and DSA:
https://www.hoganlovells.com/~/media/hogan-lovells/global/knowledge/topic-centers/dsa/DSA_DMA_Hogan_Lovells_Taskforce_Team_2March2021_web.pdf
https://www.hoganlovells.com/de/publications/digital-mergers-act-die-rueckwirkungen-des-dma-auf-die-fusionskontrolle-in-digitalen-maerkten
https://www.hoganlovells.com/~/media/hogan-lovells/global/knowledge/topic-centers/dsa/dsa_dma_teaser_hogan_lovells_teaser_08feb2021.pdf

- FSR and FDI:
https://www.hoganlovells.com/en/events/the-eu-foreign-subsidy-regulation
https://www.engage.hoganlovells.com/knowledgeservices/news/global-foreign-direct-investment-fdi-legal-guide
https://www.hoganlovells.com/en/events/fdi-fsr-outbound-investment-screening-navigating-the-new-challenges-of-global-ma-transactions

- Sanctions:
https://engagepremium.hoganlovells.com/sanctions
https://www.engage.hoganlovells.com/knowledgeservices/viewContent.action?key=Ec8teaJ9Vap8btS9GevqFF7eOOGbnAEFKCLORG72fHz0%2BNbpi2jDfaB8lgiEyY1JAvAvaah9lF3dzoxprWhI6w%3D%3D&nav=FRbANEucS95NMLRN47z%2BeeOgEFCt8EGQ0qFfoEM4UR4%3D&emailtofriendview=true&freeviewlink=true


- EU AI Act:
https://engagepremium.hoganlovells.com/resources/ai-hub

- Stem Cell regulation
https://www.engage.hoganlovells.com/knowledgeservices/viewContent.action?key=Ec8teaJ9VarTUdutmoAfO17eOOGbnAEFKCLORG72fHz0%2BNbpi2jDfaB8lgiEyY1JAvAvaah9lF1P4Yhmok33cA%3D%3D&nav=FRbANEucS95NMLRN47z%2BeeOgEFCt8EGQ0qFfoEM4UR4%3D&emailtofriendview=true&freeviewlink=true","Brussels Chamber of Commerce, Trans-Atlantic Business Council (TABC), European Food Law Association, Women's Law Network, multiple national bar associations, American Bar Association, German Antritrust Lawyers Association (Studienvereinigung Kartellrecht), Forum Investitionskontrolle","Hogan Lovells is a global law firm offering extensive experience and insights gained from working in some of the world's most complex legal environments and markets for corporations, financial institutions and governments. Working at the intersection of business and government, our lawyers have significant EU law experience and a detailed knowledge and understanding of the European institutions. The focus of our work is on legal advice that does not fall within the scope of the register (i.e. advice to clients on legal or administrative proceedings, on compliance with law, on the impact of regulatory changes, and representation in legal proceedings). However, Hogan Lovells also offers to support clients, via representation or mediation, in their participation in the EU's political processes including the provision of tactical or strategic advice and the drafting of advocacy material.",
196299,Hausfeld Rechtsanwälte LLP,Advances interests of their clients,www.hausfeld.com,"2024-4-11, 22:00","60,000",0.449999988079071,,https://www.hausfeld.com/de-de/legal-notices/impressum/,"Hausfeld ist eine auf Prozessvertretung spezialisierte internationale Wirtschaftskanzlei mit Büros in den USA und in Europa. Neben dem Bereich des Kartellschadensersatzes, in dem Hausfeld weltweit als eine der führenden Kanzleien gilt, berät Hausfeld bei höchst komplexen Streitigkeiten mit oftmals internationalen Bezügen u.a. im Bereich Finanzdienstleistungen, Umwelt- und Verbraucherschutz, Sport und Unterhaltung und Menschenrechte. Die Kanzlei nimmt zudem auch eine Vorreiterrolle bei Fragen des Wettbewerbs auf digitalen Märkten und Online-Plattformen ein und hat in der Vergangenheit zahlreiche Pionierentscheidungen erstritten. Zu Hausfelds Mandant*innen zählen multinationale Konzerne, öffentliche Einrichtungen und kleine und mittlere Unternehmen aus dem Einzelhandels-, Transport- und Automobilbereich sowie aus dem Bereich der Informationstechnologie.",Partner und angestellte Rechtsanwälte
